reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOEuzeKnd97R9lS6JpacOJOB3LjB28hTrES13CB84by7I7yZjhKdXyyqP0NDreGrzjX8584IQTCNSGG-Dzg,Early Bird,https://play-lh.googleusercontent.com/a-/AOh14GiNCVi7qNDtTVU1zM7Rl1dcCuCiipNKX5BoxVHvj8o,"Ada bug tolong diperbaiki saya pesan tiket pesawat, ga sengaja klik saya sudah bayar padahal belum, akhirnya saya hapus agar ga blunder krn no rek untuk pembayaran ga tampil di aplikasi (ya, saya tahu di email ada datanya) kemudian saya pesan tiket lagi, tapi datanya ga masuk di tab pesanan (sudah 2x saya coba), sudah di refresh juga, tapi data pesanan baru masuk ke email beserta instruksinya karena data pesanan ga tampil di aplikasi saya ragu untuk bayar takut sudah bayar tiket ga ke issued kan ribet akhirnya saya pesan dan bayar di aplikasi sebelah tolong diperbaiki bugnya",3,0,3.3.0,2018-09-30 19:19:17,"Mohon maaf atas ketidaknyamanan Anda. Untuk membantu kami melakukan investigasi lebih lanjut atas kendala yang Anda alami, mohon bantuan Anda untuk menginformasikan log in ID yang Anda gunakan serta nomor pesanan tersebut melalui email ke android@traveloka.com. Terima kasih.",2018-10-02 13:19:52,most relevant,com.traveloka.android
gp:AOqpTOHV-JfqIVYGC3Q_62a4YpcLBHG3SpdQSgEG5-DnMhXZ9g-T1zIHnDrai3f1xoAH7AvLzUpZhVKIrzGnkas,Andre Gunawan,https://play-lh.googleusercontent.com/a-/AOh14GhI8VyNeq6q0Yh3QZEVW6wVTvIYjK7uZtVhrg9XvA,"Sepertinya penurunan kualitas. Akhir akhir ini coba beberapa kali pesen saat mau bayar, eh pilihan Bank BCA dan Indomaretnya berwarna abu abu. Jadi dicancel aja. Beli langsung ke Indomaret. 🙇",2,0,3.2.1,2018-10-02 21:35:48,"Mohon maaf atas ketidaknyamanan Anda. Pada waktu tertentu, kami memang menonaktifkan beberapa metode pembayaran dikarenakan maintenance rutin demi pelayanan yang lebih baik. Saat ini Anda dapat memilih metode pembayaran ATM yang tersedia 24 jam. Namun kami akan menjadikan ini sebagai masukan untuk pengembangan produk kami selanjutnya. Terima kasih.",2018-10-03 13:25:57,most relevant,com.traveloka.android
gp:AOqpTOFaT5RvupU5JvoBorsJ-YaLoiZJ8-cRD_QyvQq3sovUITK9ipySd1rSwLiN2wowwc7dm-JYdW6WaMvQ8d0,Robet Robet,https://play-lh.googleusercontent.com/a/AATXAJxE7FSdOROPAR9z_1wweaZlmtGAM7B5orzPLrN6=mo,"Tolong dong di buat app penundaan keberangkatan di tiket pesawat jika ada penundaan keberangkatan,pelayanan yg lain nya udah ok",4,3,3.4.0,2018-10-04 23:46:21,Terima kasih telah menggunakan Traveloka dan atas tanggapan yang Anda berikan kepada kami. Kami akan menjadikan tanggapan Anda sebagai masukan untuk pengembangan produk kami selanjutnya. Namun akan sangat membantu kami jika Anda bersedia untuk menyampaikan lebih detail saran tersebut melalui email ke android@traveloka.com.,2018-10-26 11:21:59,most relevant,com.traveloka.android
gp:AOqpTOHgHYr4akSzq4x35qkWv_IfQuD9bdzdGkoPRUrjY94o2ehkcS2l5WmdGtfnV-jUWGw_z0JsECJN-Qx8NPs,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Hai traveloka. Kenapa ya pemesanan tiket maskapai garuda selalu gagal. Apa kendalanya? Sy sdh bbrp Hari ini mengulang pemesanan, selalu dibalas ""maskapai sibuk"". Mohon penjelasannya",2,0,No Reply,2018-10-05 20:07:27,"Terima kasih telah menggunakan Traveloka dan mohon maaf atas ketidaknyamanan yang Anda alami. Untuk membantu kami melakukan investigasi lebih lanjut, mohon bantuan Anda untuk menginformasikan detail pencarian Anda seperti rute penerbangan dan tanggal keberangkatan serta screenshot pesan eror tersebut melalui email ke android@traveloka.com.",2018-10-09 22:52:25,most relevant,com.traveloka.android
gp:AOqpTOHR0ivMwoP1LOUqSGNafCxhaBergeT3KVr1IHVdX7wKk54W49FMDAhs-gsLaII6c3byO6TJ7R0pyjJqYa4,Felly hua,https://play-lh.googleusercontent.com/a-/AOh14GgCGGOQ8Sb3TNvZRdz6l6U78yRIuv4QK7yT5fJu,Saya kecewa sekali dengan pihak traveloka. Dalam pelanyanan pusat bantuan nya.. Saya meminta bantu dari jm 7 sampai sekarang respon nya pun tidak ada... Jika memang aplikasi ini bisa di percaya. Saya minta kejujuran nya dalam mencari uang. Tolong di kembalikan uang saya yang bukan hak anda.. Saya sudah menuliskan apa masalah saya...,2,131,3.4.0,2018-10-05 20:13:49,"Terima kasih telah menggunakan Traveloka dan mohon maaf atas ketidaknyamanan yang Anda alami. Untuk membantu kami melakukan investigasi atas kendala Anda, mohon bantuan Anda untuk menginformasikan nomor pesanan Anda melalui email ke android@traveloka.com.",2018-10-23 14:37:59,most relevant,com.traveloka.android
gp:AOqpTOFX2mKLL4BNZHxU2fCc3JdMLwG0iSUPCNGfQKT4WyqQ6irYqLDtFYZISq2_XRgn1D9scV3Z_6EH_AcDPew,Ibnu Sutrisno,https://play-lh.googleusercontent.com/a-/AOh14Giy3OtJcDPpDUDeKZNxTBV3WA0xzctTKJLSf9d-,"Sedikit saran, kalau bisa untuk penggunaan limit paylater nya jangan di minimalin, jadi kurang berguna.. Apalagi bisa di pakai buat beli pulsa / token dengan limit, wah luar biasa banget, tks",3,0,No Reply,2018-10-06 06:29:30,Terima kasih telah menggunakan aplikasi Traveloka. Kami akan menjadikan ini sebagai masukan untuk pengembangan produk kami selanjutnya. Traveloka terus berusaha melengkapi dan meningkatkan layanan kami untuk pelanggan setia seperti Anda. Terima kasih telah meluangkan waktu Anda untuk memberikan masukan kepada Traveloka.,2018-10-24 15:11:28,most relevant,com.traveloka.android
gp:AOqpTOEqS-btLHKeQWwVeNd72PHBm7y6GF2YxLVlJNR7Z-A02mzxle3WbhOgaD9XNbZ0tO9DkyzZ3fT1vWU2bxM,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Cukup membantu sesuai aplikasi yg disajikan bila dibandingkan dgn program aplikasi lain yg serupa..,4,1,3.4.0,2018-10-08 09:11:53,No Reply,No Reply,most relevant,com.traveloka.android
gp:AOqpTOEv5XMwavWLUPjcMMKumjbpGY0MDGtGx57R6rN55gYGSXtWGSVq5g0j1bR_NJXYi--6xZHRsK25YTBlTzY,Gos Awibebbo,https://play-lh.googleusercontent.com/a-/AOh14Gjs_MZ7tlnegAsWSFSrXJCDZNSi7noIcq4Oh2Qv,Lumayan bisa liat harga tiket dari trafelokal .walau Indonesia mata uang sedang ambruk. Sebb Rezim gagal mengelola keuangan negara Indonesia.,4,0,3.1.1,2018-10-08 12:06:13,No Reply,No Reply,most relevant,com.traveloka.android
gp:AOqpTOG2TOlt2SpN1pWCSqdLbJNbLTx8c2Re7I9YjLs6-_S0VwhNtJO90WFyOgyLUsxpVsBjAPO8B1i_7aByCJM,siudint 27,https://play-lh.googleusercontent.com/a-/AOh14GhX4nflFKRBTzT-7kbkAgImIDcQIhYhyCPUdByz-Q,Kesel n kecewa bgt ... Gara2 tiba2 ada pindahan rute ... Yg gak beralasan.. Gak jelas bgt ... Masak dr SBY ke Pekanbaru jadi Batam ke Batam ... Bikin ribet aja,2,0,3.3.0,2018-10-09 00:58:51,"Terima kasih telah menggunakan Traveloka dan mohon maaf atas ketidaknyamanan yang Anda alami. Untuk membantu kami memahami kendala yang Anda alami, mohon bantuan Anda untuk menginformasikan kendala yang dimaksud beserta nomor pesanan Anda (jika ada) melalui email ke android@traveloka.com agar kami dapat membantu Anda lebih lanjut.",2018-10-23 14:46:20,most relevant,com.traveloka.android
gp:AOqpTOE62N1TOzWHjJTSqQMCH4WL_r9CBNy_syYy8_iR6Jtgyrf4Rgp9qPo6Z7W2Wm8Xz17kn1SxEMzBL6hTW28,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Untuk saat ini pelayanan dari Traveloka sangat mumaskan.. kesalahan transfer pun uang saya sudah dikembalikan dgn utuh & tdk ada potongan sedikitpun. Buat kedepannya saya cuma minta utk pemesanan tiket kereta & juga hotel domestik agar lebih ditingkatkan lagi Potongan harga & Kupon. Terima Kasih 🙏🙏,4,33,3.4.0,2018-10-09 15:27:39,No Reply,No Reply,most relevant,com.traveloka.android
gp:AOqpTOG_EwsP5d0w3kzHxCSvV3uVSA6wR111XlPghiBM2p7uH5RVhoySyj3D2WzJhQ-2Xi9WsHRqHiTCILuA0jA,Nurmadiyah -,https://play-lh.googleusercontent.com/a-/AOh14GhWm0J04iEI96U6ufP3r4Zxf-fIbBrfQiYBYnUCkA,kenapa sampai sekarang saya tidak bisa mengisi atau topup saldo uangku? pdhl itu sngat berguna bila saya sdng sangaat terdesak. trmksh.,4,1,3.4.0,2018-10-10 14:19:37,No Reply,No Reply,most relevant,com.traveloka.android
gp:AOqpTOEn7KVQ3JrJtxlFhE5Z7ITT5DTkOkzP-dWheiOwUjZMe6ukFuuc-2YgeIkmWYLYJD6SH0FLyqoJGY0ZS7w,Sri Wulandari,https://play-lh.googleusercontent.com/a-/AOh14Giz6e50_lHDVpWySTA2v4LPodxs0YcgsVH2hVF4,Traveloka memang paling oke.. Tp kalau bisa sering2 kasih diskon yg lbh real atau give buat pengguna yg sering menggunakan aplikasi ini,4,5,3.4.0,2018-10-11 20:44:17,No Reply,No Reply,most relevant,com.traveloka.android
gp:AOqpTOEKT7-DvTjknHm0bSQE0uf_JrncCRaZT_1s_uKAwCMkKgIgcFbMiRSnSwWkwKd7E-JUpGgYXJuUPJHcsB8,Fe Firdaus,https://play-lh.googleusercontent.com/a-/AOh14GhhZeszNXzrT028LsuZIKMkrcMd8rn4gkq1OOPK,"Sebelumnya saya mengucapkan terima kasih kepada traveloka semoga kedepan semakin baik, saya sudah cukup lama berlangganan traveloka dlm perjalanan kerja mengurus usaha saya & liburan, baik antar kota juga propinsi, saran saya unt. Ulasan disini cobalah pihak traveloka siapkan waktu berkala unt mengadakan investigasi berkala turun kelapangan agar semua keluhan pengguna traveloka kedepan lebih puas dlm memesan kamar hotel, pengalaman saya dari menyewa kamar dihotel kadang bikin pilu hati & kesel mengalami keadaan kamar yg bau, sprai gak diganti & atap bocor, shower - kran rusak, AC rusak, air menggenang, kamar mandi ada cacing, & kecoak, semut merah ( semut merah ini pengalaman saya dihotel bintang 3 lantai 5 ) & gelas kotor, lampu ngejepret sendiri, ini unt kamar hotel bintang 2 & bintang 3, kalo unt kamar hotel bintang 4 keatas masih cukup baik, beberapa sering saya tes beli langsung di hotel & pesan online, itu sangat berbeda kalo beli langsung kita disuguhkan kamar yg baik ""bagi mereka"", tapi kalo pesen online seperti yg tuliskan tadi. disini saya merasa dibedakan antara pesanan langsung & online padahal kita bayarnya sama beda potongan harga paling 10-20%, saya kasian bila mereka teman2 para pengguna yg lain yg belum banyak pengalaman menginep dihotel, mereka mungkin berpikirnya kamar hotel itu sudah baik sesuai harga fasilitanya & gak lagi ngecek kondisi kamar, ini bisa terjadi pada mereka mungkin itu orang tua atau keluarga yg bawa anak2, karena terburu waktu atau karena terdesak mereka ""mungkin pasrah atau kesel"" menerima kamar hotel yg dipilihkan oleh pihak hotel, Dan bila di confirm ke pihak hotel mereka bilang ""maaf kamar sudah penuh besok diusahakan & besok pindah jam 11 keatas baru bisa"" (ini alasan klasik yg saya alami), Saya berharap coba la ditegur supaya mereka ""pihak hotel yg nakal"" tdk membedakan kamar yg beli online dan langsung. semoga traveloka bisa semakin baik dan terus berguna. mohon maaf atas kritik & saran ini.",3,0,3.4.0,2018-10-12 00:40:51,Mohon maaf atas ketidaknyamanan Anda. Anda bisa memberikan ulasan kepada tempat Anda menginap melalui notifikasi yang dikirimkan melalui Inbox Anda di aplikasi untuk membantu pengguna lain dalam memilih hotel. Traveloka akan terus berusaha untuk meningkatkan kontrol proses kami untuk menjamin kenyamanan para pengguna. Terima kasih.,2018-10-24 16:31:24,most relevant,com.traveloka.android
gp:AOqpTOHsVJJA2LnCF4x7P1q_H9rORNP9OavEh07040cMooBfyEzJt-PQLY-CEfkpz3sd0piXDCVgVKHqTaggS8k,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Lumayan, mempermudah perjalanan namun app harus dibuka pada jaringan tinggi lemah lambat, satu hal lagi min.. Karcis Kapal Laut tidak ada ya.. Bagaimana agar bisa bermitra dengan traveloka. Terima kasih",3,0,3.2.1,2018-10-12 19:28:36,"Terima kasih telah menggunakan aplikasi Traveloka. Kami akan menjadikan ini sebagai masukan untuk pengembangan produk kami selanjutnya. Traveloka terus berusaha melengkapi dan meningkatkan layanan kami. Untuk membantu kami meningkatkan layanan kami, mohon bantuan Anda untuk menginformasikan rute yang Anda cari ke android@traveloka.com.",2018-10-24 16:53:41,most relevant,com.traveloka.android
gp:AOqpTOHiiqLwZSGYTCtwZ8RAI11_8gVS8bQ2_kY1YLbwK_otbrJqiavR7bZHCanGbxSaTfQPDLaWk_SncAyrKnQ,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi sangat membantu pencarian tiket pesawat,apakah poin bisa di tukar dengan sofenir apa gitu terima kasih",4,0,3.4.0,2018-10-20 07:13:06,No Reply,No Reply,most relevant,com.traveloka.android
gp:AOqpTOEzd7QQTjg6Izy-lXO8eFS4NKcal-ycljkiy-bI0cEzzRqm49RWqIr5tK3kD9VfdZF4XyZoBScCxOe_Bkg,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Untuk pemesanan tiket dan hotel bagus,. Tapi klo ngurus masalah refund lama bgt😥😥. Coba lebih di cepetin dikit cair nya. Kan enak",4,0,3.4.0,2018-10-21 14:52:02,No Reply,No Reply,most relevant,com.traveloka.android
gp:AOqpTOFIKETR-wAactzx3Bcb8EtwOS2DoQVIs0FkP3O_Biife9CS0cAnWUEBvHPwjjPfc1Oh5A9yIc5QngOoXNg,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Saya sangat mengapresiasi adanya traveloka sbg apilikasi yg mempermudah transaksi online tiket pesawat dan hotel,4,1,3.4.0,2018-10-22 13:45:56,No Reply,No Reply,most relevant,com.traveloka.android
gp:AOqpTOFLqm1juAYKAJhAj-JF4r66ZXlI9XKBq8woWjvdd_35SN-rtn_R4VwCZikRoi8xhCwOXZfEpb4T2YnqALE,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kecewa, bnyK promo tapi gak bsa di pake. Malah di suruh download versi 2.15.0 payah padahal udah di update. Gimana sih?",3,0,3.4.0,2018-10-22 14:17:12,"Mohon maaf atas ketidaknyamanan yang Anda alami. Versi aplikasi 2.15.0 adalah versi minimum yang harus Anda miliki untuk menggunakan promo. Jika Anda telah menggunakan aplikasi versi terbaru maka Anda dapat menggunakan promo tersebut. Untuk investigasi lebih lanjut, mohon informasikan screenshot pesan error yang Anda dapat ke android@traveloka.com.",2018-10-25 11:22:23,most relevant,com.traveloka.android
gp:AOqpTOFQ2Nc0OkbfQKQeFnlilWnYXGf6IDt0-d4QYEennDl5zfMp0TPKlc7AQJ-PNaVdJXtpuv7o8omAVHuPteU,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Harga tiba - tiba berubah saat mau bayar, akhirnya batalkan semua pembayarannya... Pindah pesan ke tempat lain.",4,0,3.3.0,2018-10-22 18:05:32,"Mohon maaf atas ketidaknyamanan Anda. Harga yang tertera pada halaman hasil pencarian sangat bergantung pada kebijakan masing-masing maskapai yang dapat berubah sewaktu-waktu. Untuk investigasi lebih lanjut, mohon informasikan detail pencarian Anda seperti rute & tanggal keberangkatan yang Anda pilih melalui email ke android@traveloka.com.",2018-10-26 10:39:14,most relevant,com.traveloka.android
gp:AOqpTOEB881O5MFIBOgPAHWcYp-6jHy3nv_JQrLJM-zV_7nnDsTFSO_em1bjgEo15KG043UTsx5v_26S6WT11Bs,DHENY D.R,https://play-lh.googleusercontent.com/a-/AOh14Gj48nP6NZuflosVb8_Jdk26c5SaB4RWJuA4_qFjkQ,"Aplikasi ini bener"" memudahkan saya untuk bepergian kemana"" sawaktu"" dan sangat mudah",4,0,No Reply,2018-10-26 13:15:25,No Reply,No Reply,most relevant,com.traveloka.android
gp:AOqpTOEK2bdtOmR3NIIjuwhuIX6151QWGzo38UnmX3-bdaqmYollRpw4DKzPa5UkZkn88RFwGeH9TWhVMkwlQd0,Septian Official,https://play-lh.googleusercontent.com/a-/AOh14GiFjkluARIzJg7bkAeQGJwCakh59DCUE7b4dXeTsg,"Kenapa iklan nya sering muncul pada saat saya nonton youtube dan main game, menggangu banget. Plis tolong di perbaiki",4,0,3.1.1,2018-10-29 18:51:31,Mohon maaf atas ketidaknyamanan Anda. Kami telah meneruskan tanggapan Anda kepada tim terkait. Kami selalu menampung saran dan kritik dari pengguna kami dan terus melakukan perubahan berdasarkan tanggapan pengguna. Kami sangat menghargai Anda yang telah meluangkan waktu untuk memberikan tanggapan terhadap aplikasi Traveloka. Terima kasih.,2018-10-30 09:45:42,most relevant,com.traveloka.android
